timestamp,byterate,packnum
1521118800.100005990,4.7738336E+8,47898
1521118800.200005990,5.1688791E+8,50704
1521118800.300005990,4.4880244E+8,46179
1521118800.400005990,4.6567015E+8,47860
1521118800.500005990,4.3710654E+8,45500
1521118800.600005990,4.3384093E+8,45848
1521118800.700005990,4.5644856E+8,46631
1521118800.800005990,4.5715414E+8,46689
1521118800.900005990,4.4153520E+8,46231
1521118801.000005990,4.4898410E+8,46334
1521118801.100005990,4.1227680E+8,43991
1521118801.200005990,4.5417363E+8,47407
1521118801.300005990,4.4063455E+8,46383
1521118801.400005990,4.6119357E+8,48017
1521118801.500005990,4.5683422E+8,47640
1521118801.600005990,4.3794087E+8,46442
1521118801.700005990,4.8001910E+8,49229
1521118801.800005990,4.4975041E+8,46604
1521118801.900005990,4.4837381E+8,46332
1521118802.000005990,4.7929905E+8,48476
1521118802.100005990,4.4744914E+8,46505
1521118802.200005990,4.4921987E+8,46416
1521118802.300005990,4.9506156E+8,49655
1521118802.400005990,4.4561289E+8,46355
1521118802.500005990,5.1532804E+8,50976
1521118802.600005990,6.0532081E+8,57243
1521118802.700005990,4.3982309E+8,45985
1521118802.800005990,4.7573172E+8,48646
1521118802.900005990,4.8548344E+8,49228
1521118803.000005990,4.9173436E+8,49582
1521118803.100005990,4.4872602E+8,46917
1521118803.200005990,4.4340104E+8,46704
1521118803.300005990,4.5742241E+8,47460
1521118803.400005990,4.4834357E+8,46609
1521118803.500005990,4.3808556E+8,46067
1521118803.600005990,4.6894530E+8,48444
1521118803.700005990,4.4169345E+8,46294
1521118803.800005990,4.8959709E+8,49562
1521118803.900005990,4.5983418E+8,47276
1521118804.000005990,4.6247897E+8,47564
1521118804.100005990,4.3984048E+8,46026
1521118804.200005990,4.6195180E+8,47321
1521118804.300005990,4.8085035E+8,49527
1521118804.400005990,4.9378066E+8,49822
1521118804.500005990,5.0886964E+8,51065
1521118804.600005990,4.6555285E+8,47886
1521118804.700005990,4.4754625E+8,46896
1521118804.800005990,4.1322986E+8,43834
1521118804.900005990,4.4587923E+8,46544
1521118805.000005990,4.5123176E+8,46232
1521118805.100005990,4.4599384E+8,46246
1521118805.200005990,4.4368729E+8,46527
1521118805.300005990,4.5038372E+8,46361
1521118805.400005990,4.3344872E+8,45622
1521118805.500005990,4.0628477E+8,43522
1521118805.600005990,4.1162491E+8,44384
1521118805.700005990,4.4528874E+8,46719
1521118805.800005990,4.5699588E+8,47345
1521118805.900005990,4.4689248E+8,46562
1521118806.000005990,4.8407454E+8,49004
1521118806.100005990,4.7638049E+8,48533
1521118806.200005990,5.1965841E+8,51505
1521118806.300005990,4.5136504E+8,46510
1521118806.400005990,3.8971431E+8,42582
1521118806.500005990,4.0158868E+8,42771
1521118806.600005990,3.8169290E+8,41885
1521118806.700005990,3.8985263E+8,43621
1521118806.800005990,3.8794116E+8,42691
1521118806.900005990,3.9827647E+8,43217
1521118807.000005990,4.2086507E+8,45011
1521118807.100005990,3.8261307E+8,41947
1521118807.200005990,4.5257114E+8,47139
1521118807.300005990,4.1073263E+8,43982
