timestamp,byterate,packnum
1521118801.000005990,458381333,469874
1521118802.000005990,452049601,470521
1521118803.000005990,485076492,490591
1521118804.000005990,455852759,472897
1521118805.000005990,460873288,475153
1521118806.000005990,442467489,462292
1521118807.000005990,421733516,448326
1521118808.000005990,409814528,440754
1521118809.000005990,444521903,468236
1521118810.000005990,462226817,474936
1521118811.000005990,477747830,485783
1521118812.000005990,456432609,468619
1521118813.000005990,478109670,484370
1521118814.000005990,499567110,502350
1521118815.000005990,444460798,467037
1521118816.000005990,469698537,479487
1521118817.000005990,474345801,484195
1521118818.000005990,447518316,466299
1521118819.000005990,452812726,469617
1521118820.000005990,453036157,468971
1521118821.000005990,450003765,464858
1521118822.000005990,449751965,467862
1521118823.000005990,402148392,434299
1521118824.000005990,435626028,456501
1521118825.000005990,420233814,446353
1521118826.000005990,416632251,447314
1521118827.000005990,423324527,447475
1521118828.000005990,454527209,470403
1521118829.000005990,452925310,464234
1521118830.000005990,464532544,475922
1521118831.000005990,484463659,488182
1521118832.000005990,449371944,462410
1521118833.000005990,399675807,431373
1521118834.000005990,409536708,435443
1521118835.000005990,404234454,432504
1521118836.000005990,435246226,452579
1521118837.000005990,435317970,457091
1521118838.000005990,433247773,457920
1521118839.000005990,482331433,488951
1521118840.000005990,413295372,439916
1521118841.000005990,396879284,427915
1521118842.000005990,408766564,435370
1521118843.000005990,408755167,436236
1521118844.000005990,429470569,449560
1521118845.000005990,422843033,448037
1521118846.000005990,417490263,443240
1521118847.000005990,412095489,439465
1521118848.000005990,428445755,448796
1521118849.000005990,462973100,473317
1521118850.000005990,439932731,456580
1521118851.000005990,438143771,452159
1521118852.000005990,439452384,455733
1521118853.000005990,433412588,453297
1521118854.000005990,428594355,450737
1521118855.000005990,412176105,437501
1521118856.000005990,426814152,449064
1521118857.000005990,422180215,445989
1521118858.000005990,437149508,456716
1521118859.000005990,475504102,481723
1521118860.000005990,445613096,461098
