timestamp,byterate,packNum
1521118800.001010850,3.34276E+8,350
1521118800.002007537,3.52299E+8,387
1521118800.003006376,5.34554E+8,517
1521118800.004006565,6.45935E+8,584
1521118800.005007029,7.86030E+8,674
1521118800.006006517,5.34330E+8,546
1521118800.007010959,4.60067E+8,487
1521118800.008006491,6.99538E+8,625
1521118800.009006649,1.003127E+9,843
1521118800.010007083,6.86030E+8,620
1521118800.011006802,7.22401E+8,644
1521118800.012009524,8.24819E+8,709
1521118800.013013892,4.85929E+8,491
1521118800.014006093,7.52677E+8,683
1521118800.015016787,5.83071E+8,527
1521118800.016006894,4.46027E+8,439
1521118800.017006248,6.13514E+8,572
1521118800.018008456,4.92371E+8,484
1521118800.019006751,6.23814E+8,584
1521118800.020008586,9.64850E+8,802
1521118800.021006957,4.76933E+8,461
1521118800.022006363,5.68521E+8,537
1521118800.023008361,8.54749E+8,753
1521118800.024007678,6.15617E+8,588
1521118800.025007568,4.72488E+8,495
1521118800.026008919,5.31262E+8,515
1521118800.027006336,3.81091E+8,413
1521118800.028007716,3.78347E+8,404
1521118800.029010803,4.38057E+8,411
1521118800.030008256,4.14992E+8,432
1521118800.031006999,3.13897E+8,379
1521118800.032009251,4.65328E+8,471
1521118800.033007257,3.62777E+8,415
1521118800.034006447,3.30863E+8,388
1521118800.035006464,5.30024E+8,521
1521118800.036006816,5.35264E+8,512
1521118800.037007049,6.30172E+8,601
1521118800.038006932,6.12653E+8,576
1521118800.039015688,5.43180E+8,545
1521118800.040009193,5.90133E+8,546
1521118800.041025743,5.87461E+8,546
1521118800.042006075,3.43292E+8,390
1521118800.043006986,3.78449E+8,415
1521118800.044007629,4.94244E+8,492
1521118800.045011759,4.82242E+8,491
1521118800.046015322,3.45690E+8,400
1521118800.047006398,4.47019E+8,434
1521118800.048008673,3.87590E+8,413
1521118800.049006641,3.52561E+8,384
1521118800.050011910,3.83613E+8,416
1521118800.051011845,3.93635E+8,435
1521118800.052006222,4.34685E+8,473
1521118800.053007208,4.60805E+8,429
1521118800.054007143,2.85966E+8,385
1521118800.055006519,3.92969E+8,442
1521118800.056013361,3.72802E+8,401
1521118800.057009406,2.76705E+8,353
1521118800.058010988,3.61959E+8,425
1521118800.059007026,3.28135E+8,387
1521118800.060006768,4.30343E+8,436
1521118800.061008260,3.60528E+8,414
1521118800.062008873,4.19402E+8,452
1521118800.063006602,3.77652E+8,409
1521118800.064006023,2.99368E+8,355
1521118800.065007761,4.56047E+8,458
1521118800.066006362,4.30611E+8,444
1521118800.067006767,4.45273E+8,464
1521118800.068009920,4.81527E+8,469
1521118800.069007955,3.81519E+8,415
1521118800.070010573,5.11490E+8,502
1521118800.071020864,3.02085E+8,339
1521118800.072006941,3.34267E+8,370
1521118800.073007248,3.26860E+8,357
1521118800.074006855,4.05178E+8,413
1521118800.075015776,3.03911E+8,354
1521118800.076019138,4.27467E+8,449
1521118800.077006474,4.75764E+8,453
1521118800.078011669,3.32447E+8,353
1521118800.079006568,3.57512E+8,401
1521118800.080009907,3.37114E+8,409
1521118800.081011705,3.46920E+8,386
1521118800.082006395,3.11052E+8,362
1521118800.083007105,2.30290E+8,298
1521118800.084015734,3.00437E+8,377
1521118800.085011847,4.13655E+8,430
1521118800.086006761,3.96955E+8,430
1521118800.087008178,4.88483E+8,479
1521118800.088006139,4.35794E+8,464
1521118800.089010976,4.54520E+8,491
1521118800.090006329,4.78773E+8,503
1521118800.091008618,4.73189E+8,488
1521118800.092006326,4.85763E+8,484
1521118800.093006164,5.38486E+8,517
1521118800.094007038,8.09332E+8,711
1521118800.095006458,8.77262E+8,746
1521118800.096006341,5.45934E+8,495
1521118800.097006395,3.74152E+8,417
1521118800.098007865,4.64927E+8,462
1521118800.099013671,4.99595E+8,500
1521118800.100006275,5.14623E+8,500
1521118800.101006091,4.63175E+8,480
1521118800.102009542,4.09435E+8,445
1521118800.103007875,3.92872E+8,399
1521118800.104015209,4.15499E+8,445
1521118800.105007425,3.08462E+8,386
1521118800.106008895,3.98600E+8,430
1521118800.107013524,4.37408E+8,467
1521118800.108008668,4.28893E+8,425
1521118800.109008059,4.37196E+8,444
1521118800.110011719,5.62006E+8,529
1521118800.111006178,4.96126E+8,472
1521118800.112007014,4.62771E+8,451
1521118800.113006420,4.56180E+8,474
1521118800.114010021,4.64974E+8,467
1521118800.115007795,3.02978E+8,364
1521118800.116007701,3.29754E+8,378
1521118800.117006652,3.01525E+8,371
1521118800.118007749,2.86416E+8,368
1521118800.119006805,4.01520E+8,417
1521118800.120008998,4.09017E+8,463
1521118800.121008806,4.08532E+8,432
1521118800.122007005,4.62248E+8,476
1521118800.123006850,5.75271E+8,590
1521118800.124009408,3.50549E+8,397
1521118800.125009477,5.13560E+8,507
1521118800.126006171,4.58401E+8,479
1521118800.127007060,5.15366E+8,528
1521118800.128008090,4.95201E+8,489
1521118800.129006810,3.52643E+8,390
1521118800.130008690,3.26130E+8,371
1521118800.131006621,4.00232E+8,428
1521118800.132011794,3.51433E+8,368
1521118800.133008435,5.13277E+8,503
1521118800.134006262,5.94329E+8,538
1521118800.135006584,6.44865E+8,600
1521118800.136006832,6.05913E+8,574
1521118800.137006603,5.80379E+8,539
1521118800.138006963,5.08955E+8,489
1521118800.139011160,6.18132E+8,574
1521118800.140007138,6.07100E+8,575
1521118800.141008668,5.59503E+8,525
1521118800.142011940,4.65880E+8,472
1521118800.143007629,6.48284E+8,586
1521118800.144006349,6.82997E+8,652
1521118800.145007499,4.17584E+8,445
1521118800.146006986,4.95082E+8,495
1521118800.147008121,5.48683E+8,511
1521118800.148006715,5.09154E+8,489
1521118800.149008125,7.31601E+8,659
1521118800.150008008,4.80372E+8,494
1521118800.151006602,5.88011E+8,547
