timestamp,byteRates01,packNums01
1521118800.010007083,6.036186E+8,5633
1521118800.020008586,6.509473E+8,5935
1521118800.030008256,5.132057E+8,5009
1521118800.040009193,4.914291E+8,4954
1521118800.050011910,4.202161E+8,4381
1521118800.060006768,3.738004E+8,4166
1521118800.070010573,4.163417E+8,4382
1521118800.080009907,3.602605E+8,3898
1521118800.090006329,3.856879E+8,4220
1521118800.100006275,5.583263E+8,5320
1521118800.110011719,4.253546E+8,4450
1521118800.120008998,3.911261E+8,4225
1521118800.130008690,4.457901E+8,4659
1521118800.140007138,5.424615E+8,5188
1521118800.150008008,5.539140E+8,5328
1521118800.160007164,6.910762E+8,6339
1521118800.170009114,5.413357E+8,5235
1521118800.180008255,5.582015E+8,5296
1521118800.190006711,4.581109E+8,4651
1521118800.200006492,5.615085E+8,5333
1521118800.210007206,5.100583E+8,5032
1521118800.220014192,5.301866E+8,5205
1521118800.230015144,4.653669E+8,4797
1521118800.240006454,3.433655E+8,3985
1521118800.250006497,3.858108E+8,4105
1521118800.260010861,4.157375E+8,4352
1521118800.270010442,4.911392E+8,4905
1521118800.280006126,5.305835E+8,5172
1521118800.290006086,4.046170E+8,4248
1521118800.300006047,4.111591E+8,4378
1521118800.310007431,5.218363E+8,5163
1521118800.320007332,5.442279E+8,5288
1521118800.330006413,4.014965E+8,4289
1521118800.340007551,4.853756E+8,5018
1521118800.350013092,4.977400E+8,5085
1521118800.360009752,5.034089E+8,4972
1521118800.370006315,4.636676E+8,4763
1521118800.380006678,3.668829E+8,4091
1521118800.390006721,4.428874E+8,4612
1521118800.400009193,4.291784E+8,4579
1521118800.410006560,4.387709E+8,4639
1521118800.420010068,4.985850E+8,4939
1521118800.430006422,4.084858E+8,4351
1521118800.440008499,4.440398E+8,4610
1521118800.450007677,4.118247E+8,4387
1521118800.460006036,5.176870E+8,5004
1521118800.470007978,4.651386E+8,4769
1521118800.480006605,4.199451E+8,4402
1521118800.490008913,4.137233E+8,4374
1521118800.500011601,3.528652E+8,4025
1521118800.510007545,4.822780E+8,4816
1521118800.520011984,3.613823E+8,4100
1521118800.530012108,3.999226E+8,4271
1521118800.540008165,4.631546E+8,4795
1521118800.550010219,4.338711E+8,4482
1521118800.560007490,4.711961E+8,4699
1521118800.570009984,4.457864E+8,4593
1521118800.580007017,4.045367E+8,4510
1521118800.590007767,4.017073E+8,4741
1521118800.600009523,4.745742E+8,4841
1521118800.610006154,5.794322E+8,5436
1521118800.620007180,3.774180E+8,4055
1521118800.630006127,3.767341E+8,4128
1521118800.640009753,4.991518E+8,5150
1521118800.650011547,4.593162E+8,4731
1521118800.660006635,4.592249E+8,4804
1521118800.670006439,4.619450E+8,4648
1521118800.680006996,3.958939E+8,4247
1521118800.690006398,4.455923E+8,4518
1521118800.700006463,5.097772E+8,4914
1521118800.710014679,4.364310E+8,4483
1521118800.720011532,3.989362E+8,4262
1521118800.730009779,4.450129E+8,4527
1521118800.740007132,4.571732E+8,4744
1521118800.750007205,4.996889E+8,5014
1521118800.760006480,4.055079E+8,4218
1521118800.770007111,4.710559E+8,4802
1521118800.780018203,5.300382E+8,5108
1521118800.790006399,5.293230E+8,5254
1521118800.800007440,3.983742E+8,4277
1521118800.810012713,4.138390E+8,4375
1521118800.820007086,5.105454E+8,5042
1521118800.830006823,5.113878E+8,5325
1521118800.840006046,3.575382E+8,4247
1521118800.850007236,4.662257E+8,4775
1521118800.860007152,5.063024E+8,4994
1521118800.870007373,3.557482E+8,4038
1521118800.880006224,4.480950E+8,4568
1521118800.890006125,3.837847E+8,4183
1521118800.900006011,4.618856E+8,4684
1521118800.910007164,4.622220E+8,4583
1521118800.920006163,4.205998E+8,4511
1521118800.930009864,4.618629E+8,4692
1521118800.940006867,4.435349E+8,4618
1521118800.950011484,4.441462E+8,4566
1521118800.960015900,4.292897E+8,4634
1521118800.970008656,3.685047E+8,4040
1521118800.980010360,4.948854E+8,4971
1521118800.990017734,5.245363E+8,5164
1521118801.000008747,4.402591E+8,4555
1521118801.010006927,4.612699E+8,4800
1521118801.020007424,4.080113E+8,4422
1521118801.030006498,4.485822E+8,4530
1521118801.040010691,4.093046E+8,4349
1521118801.050006866,3.906354E+8,4340
1521118801.060020074,4.391504E+8,4543
1521118801.070009552,3.984235E+8,4321
1521118801.080006532,4.719938E+8,4832
1521118801.090008162,3.734761E+8,4095
1521118801.100006938,3.219208E+8,3759
1521118801.110008389,4.106812E+8,4504
1521118801.120006606,5.568816E+8,5497
1521118801.130007684,3.714466E+8,4248
1521118801.140006036,3.813005E+8,4214
1521118801.150013432,4.304546E+8,4659
